index,font,sentence
0,나눔손글씨 가람연꽃.ttf,"취업 준비생입니다. 글씨에 성격이 담긴다지만, 저는 이상을 담으려 해요. 불투명한 미래에도 희망이 있다는 믿음을 가지려 합니다."
1,나눔손글씨 갈맷글.ttf,저희 동네 예쁜 바닷길 이름이 갈맷길입니다. 그 이름에서 따왔습니다. 구불구불 편안한 길 같은 글로 쓰였으면 합니다.
2,나눔손글씨 강부장님체.ttf,오래전부터 글씨를 많이 쓰는 사무실에서 일해온 강 부장입니다. 사무실에서 흔히 볼 수 있는 이 글씨로 타이핑해보면 어떨까요?
3,나눔손글씨 강인한 위로.ttf,고학생 만학도입니다. 글을 통해 답답한 마음을 풀고 힘든 시기를 버틸 수 있었습니다. 제 글씨로 위로가 되고 싶습니다.
4,나눔손글씨 고딕 아니고 고딩.ttf,"저는 고등학생이고, 친구들과 함께 있는 게 너무 즐거운데요. 제 글씨로 학교 친구들과의 추억을 떠올리셨으면 좋겠습니다."
5,나눔손글씨 고려글꼴.ttf,고려인으로서 모든 고려인들이 한글이라는 모국어를 더 많이 배우고 익히는 데 도움이 되는 고려 글꼴이 되었으면 합니다.
6,나눔손글씨 곰신체.ttf,남자친구 군대를 기다리고 있는 곰신입니다. 생각이 많이 나는 날 쓰곤하는 애틋한 손편지를 느껴보셨으면 좋겠습니다.
7,나눔손글씨 규리의 일기.ttf,특별한 사람이 되고자 필기했던 나는 반복되는 하루를 끄적이는 어른이 됐다. 변하지 않은 글씨체로 어쩌면 많이 달라진 삶을 기록해본다.
8,나눔손글씨 금은보화.ttf,내년에 원하는 대학에 합격해서 제 손글씨 글꼴로 과제를 작성하고 싶어요. 수험생 모두에게 좋은 결과가 있길! 파이팅!
9,나눔손글씨 기쁨밝음.ttf,"입양 가족입니다. 아이들에게 편지를 자주 쓰는데, 이 글씨체로 추억을 주고 싶어요. 글꼴명에 아이들 이름의 뜻을 붙여보았습니다."
10,나눔손글씨 김유이체.ttf,일곱 번의 수술을 받고도 하늘나라로 떠난 우리 딸. 육아일기 쓰던 엄마의 손글씨를 통해 이 세상에 다녀갔던 것이 기억되길 바랍니다.
11,나눔손글씨 꽃내음.ttf,저는 연고가 없는 누군가를 삶의 연장선으로 이끌어가는 간호사입니다. 제 글씨가 꽃내음처럼 희망이 되기를 소망합니다.
12,나눔손글씨 끄트머리체.ttf,"세상 모든 일의 끝을 알 수 없듯, 지금과 다른 끝의 기울기를 가졌으면 하는 바람을 담아 쓴 글씨체입니다."
13,나눔손글씨 나는 이겨낸다.ttf,44년 동안 이렇게 굳어버린 글씨체네요. 쓰다 보니 조금은 울컥하네요. 힘듦을 이겨내고 있는 인생을 생각하며 제목을 정했습니다.
14,나눔손글씨 나무정원.ttf,세월 따라 눈이 나빠진 아내가 당신 글씨는 선명해서 읽기 좋으니 응모해보라 합니다. 아내가 건강하길 바라며 사랑을 담아...
15,나눔손글씨 나의 아내 손글씨.ttf,매일 남편에게 출근길에 보라고 현관문에 쪽지를 붙여두죠. 어제 좋았던 일들을 적어요. 다른 누군가도 이 글씨로 응원받으면 좋겠네요.
16,나눔손글씨 노력하는 동희.ttf,제 동생은 청각장애가 있고 시력도 많이 나빠 글 쓰는데 많은 노력이 필요합니다. 양식을 확대해 일주일 동안 열심히 썼답니다.
17,나눔손글씨 느릿느릿체.ttf,"느릿느릿 오래 걸리는 손글씨이지만, 정성 들여 쓴 만큼 제 손글씨 글꼴을 통해 많은 사람들의 마음이 전달되면 좋겠습니다."
18,나눔손글씨 다시 시작해.ttf,"28세. 작가로서 새로운 삶을 준비합니다. 늦은 건 아닐까 두려운 출발점에서, 새롭게 출발하는 이들에게 희망이 되길 기대합니다."
19,나눔손글씨 다진체.ttf,뇌병변 장애로 불편하지만 손글씨를 열심히 쓰고 있습니다. 언제까지 쓸 수 있을지 몰라 글씨체를 남기고 싶습니다.
20,나눔손글씨 다채사랑.ttf,저는 사회복지사입니다. 사회복지시설을 돕는 모든 소중한 후원자님들께 고맙고 감사한 마음이 전달되면 좋겠습니다.
21,나눔손글씨 다행체.ttf,더 정성스러운 마음을 전할 때 손글씨를 끄적입니다. 자욱마다 마음의 씨앗이 담기면 좋겠어요. 당신에게 닿아 꽃이 피도록.
22,나눔손글씨 달의궤도.ttf,"안녕하세요, 이달의 소녀 희진입니다. 팬분들께서 좋아해 주시는 손편지를 자주 쓰지 못하는 미안한 마음에 참여하게 되었습니다."
23,나눔손글씨 대광유리.ttf,옛날 저희 집은 유리 가게여서 거울에 'ㅇㅇ 증'이란 적으시는 부모님 뒷모습을 보며 자랐습니다. 그때 추억을 흉내 내보았습니다.
24,나눔손글씨 대한민국 열사체.ttf,"대한민국을 아름답게 하는 것은 나로부터 시작됩니다. 찬란한 우리 민족의 정체성을 우아하고, 강인하며, 올곧게 표현했습니다."
25,나눔손글씨 동화또박.ttf,동화를 만드는 꿈을 가지고 있습니다. 언젠가 제가 만든 글자로 예쁜 동화를 만들어 사람들의 마음을 따뜻하게 만들고 싶습니다.
26,나눔손글씨 둥근인연.ttf,무서운 인상이란 소리를 많이 듣는 저는 사람들에게 손글씨로 먼저 다가갑니다. 제 글씨가 소중한 인연을 잇는 글씨가 되었으면 합니다.
27,나눔손글씨 따뜻한 작별.ttf,유난히 악필이었던 남편이 세상에서 제일 예쁘다고 말해주던 내 글씨. 바람이 되어 우리 곁을 떠난 그의 말을 떠올리며 적어보았습니다.
28,나눔손글씨 따악단단.ttf,따돌림을 당하고 외로울 때마다 잊기 위해 책을 필사했다. 외롭고 혼자라고 느끼는 사람들에게 단단해질 수 있다는 응원을 보내고 싶다.
29,나눔손글씨 딸에게 엄마가.ttf,옛날에는 메모장에 할 말을 써서 냉장고에 붙였던 추억이 있어요. 이제는 다 커버린 딸이 어쩌면 잊었을지 모르는 엄마의 글씨체.
30,나눔손글씨 또박또박.ttf,저는 초등학교 3학년이에요. 완전 잘 쓰진 않았지만 잘 봐주셨으면 좋겠네요! 잘 안 쓰는 글자를 써보니 힘드네요. 감사합니다.
31,나눔손글씨 마고체.ttf,"방송국에서 일하며, 카메라로 찍을 장면과 무대를 표현하는 작업은 여전히 연필로 합니다. 그 무대들을 만들었던 글씨입니다."
32,나눔손글씨 맛있는체.ttf,저는 영양사입니다. 메뉴표를 작성할 때 '어떤 글씨로 작성해야 가장 맛있어 보일까?'까지 고민하는 것을 아시나요? :)
33,나눔손글씨 몽돌.ttf,"어렸을 때 몽돌을 만져봤던 기억이 있는데, 그 촉감이 지금도 선명합니다. 제가 느꼈던 그 기분을 글꼴로 느껴보셨으면 좋겠어요."
34,나눔손글씨 무궁화.ttf,"대한민국이라는 이름만 들어도 가슴이 벅찬 경찰 준비생입니다. 무궁화 꽃말처럼 일편단심, 영원히 대한민국 국민이고 싶습니다."
35,나눔손글씨 무진장체.ttf,초단기 계약직으로 일하고 있는 장 아무개입니다. 일 끝나고 쉬는 시간에 적어보았어요. 무진장 정규직이 되고 싶은 마음을 담아...
36,나눔손글씨 미니 손글씨.ttf,글씨를 쓸 때 반대편 손으로 가리는 버릇이 있었습니다. 저처럼 자존감이 낮은 사람도 자신감을 갖고 이야기를 써가길 바랍니다.
37,나눔손글씨 미래나무.ttf,정규직으로 발걸음 뗀 사회 초년생입니다. 원하던 녹지 일을 하게 된 의미 있는 해입니다. 나무가 자라듯 성장하고 싶습니다.
38,나눔손글씨 바른정신.ttf,저는 네 아이의 엄마입니다. 아이들이 제 글씨를 너무 좋아해서 학교 선생님께 메모를 드릴 때면 뿌듯해하고 자랑스러워해요.
39,나눔손글씨 바른히피.ttf,"네모 안에서 히피처럼 자유롭게! 자유롭지만 바르게, 바르지만 자유롭게 살아가는 우리들을 위한 네모한 글씨체입니다!"
40,나눔손글씨 반짝반짝 별.ttf,미래에 대한 불안으로 우울해하는 친구들에게. 노력이 언젠가는 별처럼 빛날 거예요. 이 글꼴이 빛나는 이야기를 가득 담기를.
41,나눔손글씨 배은혜체.ttf,사무실에서 열심히 영수증을 붙이는 사람입니다 :) 영수증에 끄적인 것보다 정성스럽게 적은 저의 진짜 글씨체를 보고 싶어요.
42,나눔손글씨 백의의 천사.ttf,저는 환자분들 주사를 꽂은 부위에 또박또박 글씨를 써드려요. 예쁜 글씨를 보면 행복해지잖아요. 제 글씨로 행복을 같이 나누고 싶어요.
43,나눔손글씨 버드나무.ttf,이건 절 혼자 키우신 저희 엄마의 글씨체입니다. 엄마의 글씨체로 소녀였던 엄마의 추억을 이렇게 남겨드리고 싶어요.
44,나눔손글씨 범솜체.ttf,나이를 먹으니 글자가 동그래지더라고요. 글자는 사람 마음을 닮는다잖아요. 어른이 되면서 마음에 여유가 생긴 것 같아 좋습니다.
45,나눔손글씨 부장님 눈치체.ttf,야근에 야근하는 직장인으로서 공모 마지막 날 눈치 보면서 틈틈이 적은 글씨입니다. 작고 귀여운 월급을 기다리는 직장인들 화이팅!
46,나눔손글씨 북극성.ttf,"내게 한없이 관대한 남자를 만나 사랑했고, 아직 사랑합니다. 내 하늘에서 늘 반짝이는 나의 북극성. 그의 글씨를 남기고 싶습니다."
47,나눔손글씨 비상체.ttf,암 투병 생활을 잘 이겨내고 견뎌내고 있음에 감사하며 함께 희망과 감사하는 마음을 나누고자 제 글씨를 소개합니다.
48,나눔손글씨 빵구니맘 손글씨.ttf,"아이를 키우면서 선생님을 그만두고, 집에 아이들과 있어요. 가끔은 엄마의 삶만 있는 것 같아요. 손글씨로 저를 보여주고 싶어요."
49,나눔손글씨 사랑해 아들.ttf,아들이 군대에 있는 동안 주고받은 편지에 추억이 가득합니다. 손글씨로 모든 엄마들의 사랑을 표현하였습니다.
50,나눔손글씨 상해찬미체.ttf,"중국 상해에서 사람들에게 한글의 아름다움을 가르치고 있는 제 글씨가, 작게나마 도움이 되었으면 좋겠습니다."
51,나눔손글씨 성실체.ttf,"말하지 않아도 나를 나타내는 글씨. 글씨에는 내가 담겨있고, 누군가를 향한 진심을 표현할 수 있는 가장 좋은 도구인 것 같아요."
52,나눔손글씨 세계적인 한글.ttf,"10살이지만 초등학교 1학년에 재학 중인 다문화가정 아동이 썼습니다. 이민자, 중도입국자, 외국인의 한글 학습을 응원합니다."
53,나눔손글씨 세아체.ttf,방교 초등학교 2학년 2반 3번입니다. 엄마 아빠가 회사에서 제 정성스러운 글씨체로 행복하게 일했으면 좋겠습니다.
54,나눔손글씨 세화체.ttf,곧 결혼해요. 사랑의 다짐을 담아 글씨를 썼어요. 마음이 담긴 글씨가 널리 퍼져 사랑과 행복으로 가득했으면 좋겠습니다 ♡
55,나눔손글씨 소미체.ttf,"글자 공부를 했지만, 사람이 쓴 글자보다 나은 모양새는 없었어요. 한글 서체를 만드리라 다짐했어요. 어쩌면 이루어질지도!"
56,나눔손글씨 소방관의 기도.ttf,저는 소방관입니다. 소방관들의 안전과 행복을 위해 써봤습니다. 지금도 국민의 안전을 지키고 있을 소방관들을 응원합니다.
57,나눔손글씨 손편지체.ttf,가족과 의미 있는 날 편지를 주고받습니다. 엄마를 닮아가는 제 글씨가 가족과 따뜻한 마음을 주고받는 데 쓰이기를 바라봅니다.
58,나눔손글씨 수줍은 대학생.ttf,대학생입니다. 좋아하는 사람에게 건넬 편지를 위해 몇 번을 다시 썼는지 몰라요. 사랑을 시작하는 청춘의 마음이 담겨있답니다!
59,나눔손글씨 시우 귀여워.ttf,"또래보다 느린 아이지만 생각이 깊고, 가족과 친구들을 배려할 줄 아는 고운 마음을 가졌죠. 엄마의 응원과 사랑을 전합니다."
60,나눔손글씨 신혼부부.ttf,결혼한 지 40일 만에 장거리 부부가 되었어요. 신혼의 설렘과 그리움을 담아 한 글자 한 글자 써봤습니다. 보고 싶어 여보!
61,나눔손글씨 아기사랑체.ttf,아픔을 안고 태어난 아가들을 돌보는 간호사 이모입니다. 아이들에게 제 글씨로 사랑을 전하고 싶습니다. 너는 할 수 있어! 라고요.
62,나눔손글씨 아름드리 꽃나무.ttf,당신의 모든 말들이 아름드리나무에 피어나는 꽃과 같길 바라면서 참여했습니다. 우리말 꽃이 탐스럽게 피어나길 바랍니다.
63,나눔손글씨 아빠글씨.ttf,"직업이 운전인 아빠는 손이 많이 거치십니다. 그 손으로 멋진 글씨를 쓰시는 우리 아빠! 멋진 아빠 인생 응원하고, 사랑합니다."
64,나눔손글씨 아빠의 연애편지.ttf,"100통 넘는 편지를 주고받으며 사랑을 키우신 군인 부부 부모님♡ 30년이 지나도, 엄마를 향한 아빠의 사랑이 담겼습니다."
65,나눔손글씨 아인맘 손글씨.ttf,9살 발달장애 아이를 키우는 엄마입니다. 아인이는 궁금한 글자를 저에게 써달라고 합니다. 그럼 제 글씨를 보고 따라서 써요.
66,나눔손글씨 아줌마 자유.ttf,저는 자영업을 하는 아줌마입니다. 아줌마도 뭔가 할 수 있다는 의미로 자유롭게 표현해보았습니다.
67,나눔손글씨 안쌍체.ttf,말로 하는 표현이 서툴러 아침마다 아내에게 쪽지를 적어 보냅니다. 기분 좋게 하루를 시작하는데 조금이나마 도움이 된다면 좋겠어요.
68,나눔손글씨 암스테르담.ttf,사랑하는 이가 한글을 배우고 있어요. 읽기 쉽게 자음과 모음을 써줍니다. 언어와 문화를 넘는 글씨를 나누고 싶어요.
69,나눔손글씨 야근하는 김주임.ttf,2년 차 김 주임은 오늘도 야근 중입니다. 내일도 야근 예약 중인 김 주임들을 위해 제 손글씨가 위로와 친구가 되었으면 합니다.
70,나눔손글씨 야채장수 백금례.ttf,"1938년생 백금례입니다. 평생 장사하며 80에 한글을 배웠습니다. 손녀의 말에 써보았는데, 못 쓴 글씨지만 고맙고 감사합니다."
71,나눔손글씨 엄마사랑.ttf,엄마가 일 가시며 차려놓은 밥상에는 항상 손편지도 함께 있었어요. 사랑을 듬뿍 받은 글씨체가 널리 사랑을 퍼뜨리면 좋겠습니다.
72,나눔손글씨 엉겅퀴체.ttf,엉겅퀴처럼 가시가 돋친 것을 얇은 펜으로 표현한 글씨입니다. 이 글씨체를 쓰시며 꽃 같은 아름다움을 표현해주셨으면 합니다.
73,나눔손글씨 여름글씨.ttf,소싯적 열심히 글씨를 연습했던 모습이 떠오르며 심장이 두서없이 어찌나 뛰던지. 도전이라는 단어만으로 해피바이러스 충만!
74,나눔손글씨 연지체.ttf,"친구들아, 보고 있니! 난 연지야. 너희가 항상 내 글씨를 볼 때마다 하는 칭찬에 꼭 보답하고 싶었어. 부디 예쁜 곳에 쓰이길."
75,나눔손글씨 열아홉의 반짝임.ttf,대한민국 열아홉입니다. 하고픈 것 모두 미뤄둔 채 달려왔습니다. 한 번뿐인 열아홉이 꿈을 향해 빛난 하루하루였기를...
76,나눔손글씨 열일체.ttf,군인인데 글씨체를 바꾸려 해도 잘되지 않더군요. 아이들에게 부드러운 엄마가 되려 노력해도 자꾸 군기 잡는 제 모습처럼 말이죠.
77,나눔손글씨 예당체.ttf,"암 투병을 하면서 세상에 무언가를 남기고 싶어 도전합니다. 오랜만에 손도 떨렸지만, 제 손글씨 글꼴이 만들어진다면 큰 기쁨이 되겠습니다."
78,나눔손글씨 예쁜 민경체.ttf,"전 매일 아침 엄청난 서류를 정리하는데, 글씨만 봐도 누구 문서인지 알 수 있답니다. 글씨는 나를 표현하는 힘이 있는 것 같아요."
79,나눔손글씨 옥비체.ttf,비 오는 크로아티아 스플릿 작은 방에서 한 글자씩 적는 이 글씨가 세계 각지에 계신 분들의 마음을 전하는데 쓰였으면 합니다.
80,나눔손글씨 와일드.ttf,글쓰기를 좋아하는 복싱하는 남자. 거친 복서의 정성스러운 손글씨입니다.
81,나눔손글씨 외할머니글씨.ttf,"매일 한글을 적으며, 잊지 않으려 하시는 92세 외할머니 글씨입니다. 한글을 사랑하는 외할머니의 마음을 공유합니다."
82,나눔손글씨 왼손잡이도 예뻐.ttf,저는 왼손잡이예요. 왼손잡이는 글씨가 안 예쁘다는 편견을 깨기 위해 열심히 쓴 글씨입니다!
83,나눔손글씨 우리딸 손글씨.ttf,"엄마가 고객님들께 드릴 몇백 장의 손글씨를 쓰시느라 팔도, 손도 아프세요. 클로바의 힘으로 엄마의 손이 되어주고 싶어요!"
84,나눔손글씨 유니 띵땅띵땅.ttf,리듬이 띵땅띵땅 느껴지는 제 손글씨를 무척 좋아합니다. 손글씨를 사용할 땐 늘 재미나고 행복해요. 신나게 쓰였으면 좋겠습니다!
85,나눔손글씨 의미있는 한글.ttf,고등학교 교사입니다. 보드라운 글꼴로 아이들에게 학습지 만들어주고 싶어요. 선생님은 너희를 무척 사랑하고 있다고.
86,나눔손글씨 자부심지우.ttf,함안 군북초 5학년 지우의 담임입니다. 지우에게 자부심을 주려는 마음으로 글씨체를 보냅니다. 추억도 주고 싶고요.
87,나눔손글씨 잘하고 있어.ttf,어릴 적 외모 차별을 심하게 받았습니다. 저와 같은 사람이 없도록 봉사하며 살고 있어요. 제 글씨가 따뜻함을 주었으면 좋겠습니다.
88,나눔손글씨 장미체.ttf,"성우 일을 하고 있어요. 평소엔 목소리로 마음을 전했다면, 이번엔 서툴지만 제 손글씨로 감동을 전하고 싶어요."
89,나눔손글씨 점꼴체.ttf,"점을 찍어 쓰는 글씨는 좀 더 선명한 느낌이 들고, 별자리 느낌도 들어 애용합니다. 부족하지만 뜻 좋은 공모전에 참여해봅니다 ♡"
90,나눔손글씨 정은체.ttf,"나이 50에도 여전히 그 옛날 연애편지에서 보았던 그 글씨를 그대로 쓰고 있어, 설레는 마음으로 아내의 손글씨를 공모합니다."
91,나눔손글씨 중학생.ttf,학급에 3명뿐인 시골 중학교. 아이들은 칠판의 제 글씨를 보며 까르르 웃습니다. 중학생 글씨 같다며 말이죠. 중학생은 자기들이면서~
92,나눔손글씨 진주 박경아체.ttf,병환으로 누워계신 아버지를 매일 찾습니다. 글자를 잃어버린 당신. 저에게 가르쳐준 글씨를 더 늦기 전에 알려드리고 싶습니다.
93,나눔손글씨 철필글씨.ttf,복사기가 없던 시절. 철판(가리방)에 원지를 놓고 철필로 써서 인쇄물을 만들었습니다. 제 글씨체가 그때 영향이 있는 것 같습니다.
94,나눔손글씨 초딩희망.ttf,"저는 초등학교 4학년입니다. 어른들처럼은 못 써도, 초등학생 중에서는 잘 쓰는 편입니다. 친구들이 쓸 글꼴을 만들어주세요"
95,나눔손글씨 칼국수.ttf,"초보 작가입니다. 칼국수 메뉴판처럼 흔하고, 별거 아닌 글뿐이지만, 언젠가 따뜻하게 몸을 녹여주는 글을 쓰고 싶어요!"
96,나눔손글씨 코코체.ttf,"평범한 30대 여성 직장인입니다. 내 손글씨도 의미가 있길,, 나도 조금은 특별할 수 있기를 바라는 작은 소망의 글씨체입니다."
97,나눔손글씨 하나되어 손글씨.ttf,"한국에 7년째 거주 중인 외국인입니다. 처음엔 기호 같았던 손글씨로, 이제는 마음을 주고받습니다. 세계가 하나 될 이야기를 담아주세요."
98,나눔손글씨 하나손글씨.ttf,"ㅊㅎ의 뾰족함, ㅇㅁㄹ의 둥글함이 저와 닮았어요. 글씨를 보면 그 사람의 성격을 알 수 있다죠? 저는 무심하지만 따듯한 성격이에요."
99,나눔손글씨 하람체.ttf,"때때로 바뀌던 글씨가 이젠 바뀌지 않아요. 작은 일에도 흔들리다가, 이젠 무슨 일에도 제자리를 지키는 제 마음처럼요!"
100,나눔손글씨 한윤체.ttf,건설 노동자입니다. 투박하지만 저도 잘 쓸 수 있다는 걸 4살 아들에게 보여주고 싶습니다. 아빠를 자랑스러워하길 빌며...
101,나눔손글씨 할아버지의나눔.ttf,할아버지가 써 보는 한글입니다. 요즘 유행하는 글씨체는 아니겠지만 누군가에게는 꼭 필요한 글씨체였으면 좋겠습니다.
102,나눔손글씨 행복한 도비.ttf,퇴사를 꿈꾸는 행복한 도비입니다! 제 글꼴로 쓰인 행복한 글들로 많은 분들의 기분이 좋아졌으면 좋겠네요~ DOBBY IS FREE~
103,나눔손글씨 혁이체.ttf,사랑하는 아빠가 정성 들인 글씨입니다. 아빠 손글씨를 볼 일이 얼마나 더 있을까요? 우리 아빠는 글씨도 멋있는 것 같아요.
104,나눔손글씨 혜준체.ttf,할머니와 참여하면서 엄청 깔깔 웃었네요. 결혼 전 좋은 추억 만들 수 있게 해주셔서 감사합니다. 평범한 할머니와 손녀의 글씨체 :)
105,나눔손글씨 효남 늘 화이팅.ttf,"19살 사고로 모든 걸 왼손으로 쓰고 있어요. 지금도 불편하지만, 글을 너무 사랑하고 글 쓰는 게 너무 좋아요. 한 손으로 도전해봅니다."
106,나눔손글씨 희망누리.ttf,두 아이의 엄마이자 평범한 주부예요. 경력은 단절되었지만 꿈을 품고 사는 멋진 엄마가 되고 싶어 지원합니다. 전업 맘들 힘내세요.
107,나눔손글씨 흰꼬리수리.ttf,"대한민국을 지키는 해양경찰관입니다. 제 손글씨가 쓰일 때, 밤낮 가리지 않고 지키는 해양경찰관들을 기억해주시면 좋겠습니다."
108,나눔손글씨 힘내라는 말보단.ttf,"하고 싶은 말이 있으면 편지를 써요, 말보다 글씨가 힘이 되거든요. 그 시간의 전부가 당신이었음을 알아줬으면..."